add x17, x15, x14  # 0x00001000  # 00e788b3
lhu x19, -93(x14)  # 0x00001004  # fa375983
sb x19, -77(x2)  # 0x00001008  # fb3109a3
lhu x23, 39(x21)  # 0x0000100c  # 027adb83
sb x23, 7(x23)  # 0x00001010  # 017b83a3
add x14, x25, x23  # 0x00001014  # 017c8733
addi x25, x9, -285  # 0x00001018  # ee348c93
sra x5, x24, x6  # 0x0000101c  # 406c52b3
sra x16, x2, x29  # 0x00001020  # 41d15833
auipc x24, 234115  # 0x00001024  # 00039c17
sw x18, -80(x14)  # 0x00001028  # fb272823
bltu x17, x29, 1110  # 0x0000102c  # 45d8eb63
or x22, x13, x17  # 0x00001030  # 0116eb33
sh x15, -59(x10)  # 0x00001034  # fcf512a3
sll x14, x20, x3  # 0x00001038  # 003a1733
lw x9, 45(x3)  # 0x0000103c  # 02d1a483
sh x9, 83(x7)  # 0x00001040  # 049399a3
sb x9, -33(x29)  # 0x00001044  # fc9e8fa3
sw x29, -44(x12)  # 0x00001048  # fdd62a23
and x29, x17, x16  # 0x0000104c  # 0108feb3
lb x21, 74(x6)  # 0x00001050  # 04a30a83
sb x21, 8(x26)  # 0x00001054  # 015d0423
slt x29, x16, x0  # 0x00001058  # 00082eb3
xor x17, x21, x7  # 0x0000105c  # 007ac8b3
slli x1, x31, 16  # 0x00001060  # 010f9093
bltu x1, x17, 3380  # 0x00001064  # 5310eae3
bltu x20, x5, -1034  # 0x00001068  # be5a6be3
jalr x20, -2044(x6)  # 0x0000106c  # 80430a67
xori x7, x23, -87  # 0x00001070  # fa9bc393
lb x16, 94(x27)  # 0x00001074  # 05ed8803
sw x16, 36(x3)  # 0x00001078  # 0301a223
xor x30, x10, x16  # 0x0000107c  # 01054f33
lw x13, 2(x12)  # 0x00001080  # 00262683
sb x7, -37(x28)  # 0x00001084  # fc7e0da3
sub x8, x19, x19  # 0x00001088  # 41398433
add x19, x3, x23  # 0x0000108c  # 017189b3
and x2, x21, x4  # 0x00001090  # 004af133
sll x31, x13, x8  # 0x00001094  # 00869fb3
bltu x15, x30, 2518  # 0x00001098  # 1de7ebe3
xor x27, x22, x27  # 0x0000109c  # 01bb4db3
bltu x6, x3, -798  # 0x000010a0  # ce3361e3
blt x15, x12, -2538  # 0x000010a4  # e0c7cb63
xor x11, x17, x29  # 0x000010a8  # 01d8c5b3
lbu x4, 38(x2)  # 0x000010ac  # 02614203
sw x4, -97(x21)  # 0x000010b0  # f84aafa3
bgeu x10, x26, -118  # 0x000010b4  # f9a575e3
bltu x10, x24, -4080  # 0x000010b8  # 81856863
sll x29, x18, x27  # 0x000010bc  # 01b91eb3
beq x9, x12, -1666  # 0x000010c0  # 96c48fe3
lhu x18, -20(x2)  # 0x000010c4  # fec15903
sw x18, -86(x24)  # 0x000010c8  # fb2c2523
srai x17, x6, 5  # 0x000010cc  # 00535893
ecall  # 0x000010d0  # a31e08f3
sh x7, 45(x25)  # 0x000010d4  # 027c96a3
lhu x14, 44(x22)  # 0x000010d8  # 02cb5703
sb x14, 33(x19)  # 0x000010dc  # 02e980a3
sll x20, x15, x16  # 0x000010e0  # 01079a33
sh x20, 92(x29)  # 0x000010e4  # 054e9e23
add x6, x4, x13  # 0x000010e8  # 00d20333
xor x22, x4, x15  # 0x000010ec  # 00f24b33
or x19, x0, x19  # 0x000010f0  # 013069b3
xor x8, x16, x7  # 0x000010f4  # 00784433
beq x17, x18, 858  # 0x000010f8  # 35288d63
andi x16, x17, 9  # 0x000010fc  # 0098f813
ecall  # 0x00001100  # 9a0f0b73
auipc x2, -249940  # 0x00001104  # fffc2117
slt x2, x21, x9  # 0x00001108  # 009aa133
slti x14, x18, -1132  # 0x0000110c  # b9492713
lhu x14, 76(x3)  # 0x00001110  # 04c1d703
srai x23, x9, 8  # 0x00001114  # 0084db93
xor x22, x7, x29  # 0x00001118  # 01d3cb33
sra x29, x22, x4  # 0x0000111c  # 404b5eb3
slti x26, x9, -717  # 0x00001120  # d334ad13
blt x1, x11, 1936  # 0x00001124  # 78b0c863
bne x15, x17, -2792  # 0x00001128  # d1179c63
xor x2, x30, x14  # 0x0000112c  # 00ef4133
xori x27, x26, -184  # 0x00001130  # f48d4d93
sltu x27, x8, x1  # 0x00001134  # 00143db3
slt x17, x4, x17  # 0x00001138  # 011228b3
andi x21, x1, 91  # 0x0000113c  # 05b0fa93
xor x24, x12, x4  # 0x00001140  # 00464c33
lui x4, -281762  # 0x00001144  # fffbb237
lb x16, -100(x2)  # 0x00001148  # f9c10803
blt x23, x27, -3524  # 0x0000114c  # a3bbce63
bgeu x7, x19, 58  # 0x00001150  # 0333fd63
slt x25, x18, x8  # 0x00001154  # 00892cb3
lw x29, 45(x6)  # 0x00001158  # 02d32e83
jalr x29, -2045(x10)  # 0x0000115c  # 80350ee7
and x20, x29, x28  # 0x00001160  # 01cefa33
and x30, x10, x5  # 0x00001164  # 00557f33
sll x10, x27, x22  # 0x00001168  # 016d9533
sra x27, x26, x7  # 0x0000116c  # 407d5db3
lh x20, -82(x28)  # 0x00001170  # faee1a03
sh x20, 16(x25)  # 0x00001174  # 014c9823
lhu x12, 2(x24)  # 0x00001178  # 002c5603
lb x8, 78(x6)  # 0x0000117c  # 04e30403
sh x8, 32(x26)  # 0x00001180  # 028d1023
slti x7, x29, 1758  # 0x00001184  # 6deea393
jal x20, 693252  # 0x00001188  # 404a9a6f
bgeu x10, x30, -410  # 0x0000118c  # e7e573e3
